# BUSCO version is: 6.0.0 
# The lineage dataset is: hypocreales_odb12.2 (Creation date: 2026-05-13, number of genomes: 71, number of BUSCOs: 4077)
# Busco id	Status	Sequence	Gene Start	Gene End	Strand	Score	Length	OrthoDB url	Description
481at5125	Complete	CM132359.1	2978618	2977932	-	338.3	172	https://v12-2.orthodb.org/?query=481at5125	3-hydroxyanthranilate 3
559at5125	Complete	CM132358.1	2024245	2026549	+	1598.1	748	https://v12-2.orthodb.org/?query=559at5125	Glycoside hydrolase family 5
1126at5125	Complete	CM132360.1	1213980	1214701	+	180.5	98	https://v12-2.orthodb.org/?query=1126at5125	ubiquinol-cytochrome-C oxidoreductase complex III subunit
1368at5125	Complete	CM132362.1	628004	627458	-	279.2	161	https://v12-2.orthodb.org/?query=1368at5125	mitochondrial inner membrane protease subunit
1531at5125	Complete	CM132356.1	3060555	3061280	+	365.4	213	https://v12-2.orthodb.org/?query=1531at5125	Protein of unknown function (DUF3605)
1667at5125	Complete	CM132359.1	2310812	2310205	-	270.1	139	https://v12-2.orthodb.org/?query=1667at5125	ubiquitin-conjugating enzyme
2019at5125	Complete	CM132357.1	547201	557870	+	1005.9	545	https://v12-2.orthodb.org/?query=2019at5125	calcineurin-like phosphoesterase
2810at5125	Complete	CM132363.1	1014742	1015240	+	160.6	78	https://v12-2.orthodb.org/?query=2810at5125	NADH dehydrogenase (ubiquinone) 1 beta subcomplex 7
2860at5125	Complete	CM132356.1	4565017	4562948	-	1365.1	650	https://v12-2.orthodb.org/?query=2860at5125	phosphate transporter
3723at5125	Complete	CM132356.1	4733473	4734815	+	785.5	365	https://v12-2.orthodb.org/?query=3723at5125	uroporphyrinogen decarboxylase
3927at5125	Complete	CM132359.1	1533386	1534609	+	726.4	306	https://v12-2.orthodb.org/?query=3927at5125	serine threonine phosphatase PP1
4250at5125	Complete	CM132357.1	2862393	2862713	+	195.8	82	https://v12-2.orthodb.org/?query=4250at5125	ribosomal protein S27
4866at5125	Complete	CM132357.1	2974513	2973736	-	402.9	200	https://v12-2.orthodb.org/?query=4866at5125	cysteine dioxygenase
5292at5125	Complete	CM132360.1	1393421	1394299	+	509.9	221	https://v12-2.orthodb.org/?query=5292at5125	60S ribosomal protein
6464at5125	Complete	CM132356.1	4837396	4837030	-	204.9	109	https://v12-2.orthodb.org/?query=6464at5125	4-coumarate:coenzyme A ligase
6563at5125	Complete	CM132356.1	1370077	1369446	-	340.9	174	https://v12-2.orthodb.org/?query=6563at5125	protein SYM1
6957at5125	Complete	CM132357.1	1082529	1081167	-	838.6	420	https://v12-2.orthodb.org/?query=6957at5125	AMP_N domain-containing protein
7045at5125	Complete	CM132358.1	1082558	1080372	-	1127.1	522	https://v12-2.orthodb.org/?query=7045at5125	2 3-bisphosphoglycerate-independent phosphoglycerate mutase
7497at5125	Complete	CM132360.1	1503837	1502039	-	1109.7	576	https://v12-2.orthodb.org/?query=7497at5125	adenosine deaminase
7819at5125	Complete	CM132356.1	4298391	4297626	-	456.5	198	https://v12-2.orthodb.org/?query=7819at5125	Proteasome subunit beta
8238at5125	Complete	CM132363.1	2590596	2590069	-	277.2	156	https://v12-2.orthodb.org/?query=8238at5125	ubiquitin-conjugating enzyme
9118at5125	Complete	CM132362.1	1841258	1839273	-	1224.3	592	https://v12-2.orthodb.org/?query=9118at5125	Phenylalanine--tRNA ligase
10195at5125	Complete	CM132356.1	2221063	2217428	-	2609.1	1147	https://v12-2.orthodb.org/?query=10195at5125	DNA-directed RNA polymerase
10572at5125	Complete	CM132362.1	1586825	1587521	+	432.1	209	https://v12-2.orthodb.org/?query=10572at5125	ADP-ribosylation factor
10731at5125	Complete	CM132357.1	3276018	3275562	-	267.5	142	https://v12-2.orthodb.org/?query=10731at5125	proteasome maturation factor
11508at5125	Complete	CM132357.1	3520611	3521464	+	512.1	248	https://v12-2.orthodb.org/?query=11508at5125	haloacid dehalogenase-like hydrolase
13332at5125	Complete	CM132356.1	5214656	5213589	-	660.2	332	https://v12-2.orthodb.org/?query=13332at5125	thiosulfate sulfurtransferase
13666at5125	Complete	CM132357.1	2752043	2750414	-	1145.3	539	https://v12-2.orthodb.org/?query=13666at5125	Glucose-methanol-choline oxidoreductase
13873at5125	Complete	CM132363.1	2224391	2225351	+	587.0	298	https://v12-2.orthodb.org/?query=13873at5125	Uricase
14224at5125	Complete	CM132356.1	3856985	3859368	+	1315.7	676	https://v12-2.orthodb.org/?query=14224at5125	dipeptidyl peptidase
14550at5125	Complete	CM132358.1	2243692	2242594	-	426.0	275	https://v12-2.orthodb.org/?query=14550at5125	uroporphyrinogen-iii synthase
14908at5125	Complete	CM132358.1	3785327	3787425	+	848.8	469	https://v12-2.orthodb.org/?query=14908at5125	WD40-repeat-containing domain protein
14979at5125	Complete	CM132357.1	2918376	2919180	+	349.2	184	https://v12-2.orthodb.org/?query=14979at5125	Synaptobrevin -like protein ykt6
15111at5125	Complete	CM132363.1	2544182	2543410	-	523.1	238	https://v12-2.orthodb.org/?query=15111at5125	Dolichyl-phosphate beta-D-mannosyltransferase
15273at5125	Complete	CM132360.1	3690601	3697705	+	5495.6	2319	https://v12-2.orthodb.org/?query=15273at5125	pre-mRNA-processing-splicing factor 8
15613at5125	Complete	CM132359.1	1374331	1373495	-	482.0	237	https://v12-2.orthodb.org/?query=15613at5125	mRNA turnover protein 4-like protein
16115at5125	Complete	CM132358.1	3953634	3947065	-	1915.1	1005	https://v12-2.orthodb.org/?query=16115at5125	AP-1 complex subunit gamma
16289at5125	Complete	CM132360.1	1308778	1311204	+	1218.9	775	https://v12-2.orthodb.org/?query=16289at5125	complex I intermediate-associated protein
16347at5125	Complete	CM132356.1	4184487	4183592	-	536.8	260	https://v12-2.orthodb.org/?query=16347at5125	Proteasome subunit beta
16795at5125	Complete	CM132357.1	1994116	1995953	+	946.3	554	https://v12-2.orthodb.org/?query=16795at5125	spermine/spermidine synthase
17326at5125	Complete	CM132362.1	1912146	1910876	-	534.0	318	https://v12-2.orthodb.org/?query=17326at5125	ph domain-containing protein
17522at5125	Complete	CM132361.1	2498007	2494132	-	1251.1	555	https://v12-2.orthodb.org/?query=17522at5125	phosphoenolpyruvate carboxykinase 
17680at5125	Complete	CM132357.1	1582380	1584000	+	812.6	401	https://v12-2.orthodb.org/?query=17680at5125	CDP-alcohol phosphatidyltransferase
18011at5125	Complete	CM132363.1	1574864	1578292	+	295.7	165	https://v12-2.orthodb.org/?query=18011at5125	cytochrome c oxidase subunit IV
18472at5125	Complete	CM132356.1	2639576	2636298	-	1221.4	552	https://v12-2.orthodb.org/?query=18472at5125	Phosphoglucomutase
19978at5125	Complete	CM132359.1	2938073	2939363	+	566.4	305	https://v12-2.orthodb.org/?query=19978at5125	N-glycosylase
20040at5125	Complete	CM132356.1	1704547	1703066	-	636.6	299	https://v12-2.orthodb.org/?query=20040at5125	mitochondrial carrier
20148at5125	Complete	CM132357.1	1311287	1312330	+	588.5	276	https://v12-2.orthodb.org/?query=20148at5125	2-methoxy-6-polyprenyl-1 4-benzoquinol methylase
20908at5125	Complete	CM132363.1	1465036	1466523	+	953.0	426	https://v12-2.orthodb.org/?query=20908at5125	6-phosphofructo-2-kinase
21210at5125	Complete	CM132362.1	1025047	1023820	-	780.6	379	https://v12-2.orthodb.org/?query=21210at5125	galactose-1-phosphate uridyl transferase
21908at5125	Complete	CM132358.1	1016790	1017942	+	750.9	332	https://v12-2.orthodb.org/?query=21908at5125	Septin
21926at5125	Complete	CM132363.1	2305981	2304603	-	841.3	354	https://v12-2.orthodb.org/?query=21926at5125	guanine nucleotide-binding protein subunit beta
22255at5125	Complete	CM132361.1	1770886	1772256	+	759.5	351	https://v12-2.orthodb.org/?query=22255at5125	glucosamine-6-phosphate isomerase
22269at5125	Complete	CM132362.1	965865	964504	-	785.1	371	https://v12-2.orthodb.org/?query=22269at5125	UDP-glucose 4-epimerase
22746at5125	Complete	CM132360.1	2967363	2968418	+	688.7	329	https://v12-2.orthodb.org/?query=22746at5125	chitin synthase export chaperone
23119at5125	Complete	CM132356.1	4405436	4404889	-	282.4	141	https://v12-2.orthodb.org/?query=23119at5125	Putative PRO41 protein
23161at5125	Complete	CM132359.1	1700943	1701395	+	209.8	107	https://v12-2.orthodb.org/?query=23161at5125	Zinc Finger Protein
23233at5125	Complete	CM132356.1	1559299	1557045	-	1447.4	699	https://v12-2.orthodb.org/?query=23233at5125	SAC1
23402at5125	Complete	CM132362.1	1449374	1448012	-	889.0	427	https://v12-2.orthodb.org/?query=23402at5125	ornithine aminotransferase
23412at5125	Complete	CM132360.1	2404513	2405148	+	320.8	152	https://v12-2.orthodb.org/?query=23412at5125	dynein light chain
23533at5125	Complete	CM132361.1	538897	537733	-	645.0	348	https://v12-2.orthodb.org/?query=23533at5125	L-galactose dehydrogenase (L-)
23667at5125	Complete	CM132356.1	3360694	3358276	-	1613.4	755	https://v12-2.orthodb.org/?query=23667at5125	dolichyl-phosphate-mannose-protein mannosyltransferase
25334at5125	Complete	CM132356.1	2327474	2330970	+	2147.3	981	https://v12-2.orthodb.org/?query=25334at5125	Glycoside hydrolase family 63
25341at5125	Complete	CM132363.1	2719357	2720500	+	483.2	252	https://v12-2.orthodb.org/?query=25341at5125	Mpv17/PMP22 family protein
25373at5125	Complete	CM132359.1	1042933	1040710	-	1274.4	713	https://v12-2.orthodb.org/?query=25373at5125	F-box/WD repeat-containing protein 1A
25777at5125	Complete	CM132363.1	957410	958908	+	885.9	384	https://v12-2.orthodb.org/?query=25777at5125	actin
25837at5125	Complete	CM132356.1	3057329	3055739	-	1095.0	477	https://v12-2.orthodb.org/?query=25837at5125	UTP--glucose-1-phosphate uridylyltransferase
25927at5125	Complete	CM132363.1	2254149	2250860	-	2194.1	1044	https://v12-2.orthodb.org/?query=25927at5125	glutamate dehydrogenase
25989at5125	Complete	CM132358.1	3969190	3970140	+	468.0	270	https://v12-2.orthodb.org/?query=25989at5125	hydrolase
26076at5125	Complete	CM132359.1	1686708	1684780	-	1151.2	565	https://v12-2.orthodb.org/?query=26076at5125	AMP-binding
27800at5125	Complete	CM132360.1	2375120	2377031	+	1120.0	605	https://v12-2.orthodb.org/?query=27800at5125	ATPase
27835at5125	Complete	CM132357.1	2081379	2082458	+	545.2	291	https://v12-2.orthodb.org/?query=27835at5125	protein DJ-1
28081at5125	Complete	CM132359.1	1655112	1656812	+	1026.3	516	https://v12-2.orthodb.org/?query=28081at5125	glutathione synthase
28608at5125	Complete	CM132359.1	3764293	3762931	-	889.4	383	https://v12-2.orthodb.org/?query=28608at5125	septin
28628at5125	Complete	CM132360.1	2975715	2983560	+	463.2	262	https://v12-2.orthodb.org/?query=28628at5125	defective in cullin neddylation protein
28680at5125	Complete	CM132360.1	1312377	1312981	+	397.3	183	https://v12-2.orthodb.org/?query=28680at5125	U3 small nucleolar ribonucleoprotein IMP3
28761at5125	Complete	CM132358.1	959190	958882	-	162.8	85	https://v12-2.orthodb.org/?query=28761at5125	diphthamide biosynthesis
29110at5125	Complete	CM132357.1	2838761	2828846	-	972.4	521	https://v12-2.orthodb.org/?query=29110at5125	adenosine deaminase
29239at5125	Complete	CM132360.1	3651739	3650554	-	698.9	350	https://v12-2.orthodb.org/?query=29239at5125	SUR2
