MRCU01000021.1_239625-253587	QESU01000255.1_729-15870	96.370	1102	8103	9203	5863	4767	0.0	1808
MRCU01000021.1_239625-253587	QESU01000255.1_729-15870	95.476	1061	4734	5785	7371	6312	0.0	1685
MRCU01000021.1_239625-253587	QESU01000255.1_729-15870	92.876	1165	2701	3857	10379	9231	0.0	1670
MRCU01000021.1_239625-253587	QESU01000255.1_729-15870	90.909	220	7277	7492	12437	12656	1.43e-80	292
MRCU01000021.1_239625-253587	QESU01000255.1_729-15870	97.006	167	7026	7192	6224	6058	3.09e-77	281
MRCU01000021.1_239625-253587	QESU01000255.1_729-15870	87.764	237	7882	8110	12655	12421	2.41e-73	268
MRCU01000021.1_239625-253587	QESU01000255.1_729-15870	85.903	227	4127	4352	7935	8161	5.25e-65	241
MRCU01000021.1_239625-253587	QESU01000255.1_729-15870	97.647	85	6917	7001	3149	3233	1.18e-36	147
MRCU01000021.1_239625-253587	QESU01000255.1_729-15870	90.654	107	3882	3988	3233	3127	1.52e-35	143
MRCU01000021.1_239625-253587	QESU01000255.1_729-15870	87.273	110	5810	5919	3233	3124	1.53e-30	126
MRCU01000021.1_239625-253587	QESU01000255.1_729-15870	85.981	107	4551	4657	3233	3127	3.32e-27	115
MRCU01000021.1_239625-253587	QESU01000255.1_729-15870	87.379	103	6242	6344	6313	6214	3.32e-27	115
MRCU01000021.1_239625-253587	QESU01000255.1_729-15870	96.429	56	4127	4181	12858	12913	5.60e-20	91.6
MRCU01000021.1_239625-253587	QESU01000255.1_729-15870	75.319	235	4127	4352	4174	4390	7.24e-19	87.9
MRCU01000021.1_239625-253587	QESU01000255.1_729-15870	97.436	39	6205	6243	3907	3869	9.43e-13	67.6
MRCU01000021.1_239625-253587	QESU01000255.1_729-15870	100.000	35	4525	4559	3869	3903	3.39e-12	65.8
MRCU01000021.1_239625-253587	QESU01000255.1_729-15870	97.368	38	6990	7027	4054	4091	3.39e-12	65.8
MRCU01000021.1_239625-253587	QESU01000255.1_729-15870	100.000	34	3855	3888	3868	3901	1.22e-11	63.9
MRCU01000021.1_239625-253587	QESU01000255.1_729-15870	92.857	42	4065	4106	7600	7559	4.39e-11	62.1
