# BUSCO version is: 6.0.0 
# The lineage dataset is: hypocreales_odb12.2 (Creation date: 2026-05-13, number of genomes: 71, number of BUSCOs: 4077)
# Busco id	Status	Sequence	Gene Start	Gene End	Strand	Score	Length	OrthoDB url	Description
481at5125	Complete	CM010338.1	2064696	2065382	+	339.3	172	https://v12-2.orthodb.org/?query=481at5125	3-hydroxyanthranilate 3
559at5125	Complete	CM010337.1	2038554	2040858	+	1598.4	748	https://v12-2.orthodb.org/?query=559at5125	Glycoside hydrolase family 5
1126at5125	Complete	CM010339.1	1187194	1187915	+	180.5	98	https://v12-2.orthodb.org/?query=1126at5125	ubiquinol-cytochrome-C oxidoreductase complex III subunit
1368at5125	Complete	CM010341.1	591203	590657	-	279.2	161	https://v12-2.orthodb.org/?query=1368at5125	mitochondrial inner membrane protease subunit
1531at5125	Complete	CM010335.1	3363596	3362871	-	365.6	213	https://v12-2.orthodb.org/?query=1531at5125	Protein of unknown function (DUF3605)
1667at5125	Complete	CM010338.1	2733355	2733962	+	270.1	139	https://v12-2.orthodb.org/?query=1667at5125	ubiquitin-conjugating enzyme
2019at5125	Complete	CM010336.1	457361	460450	+	1000.5	545	https://v12-2.orthodb.org/?query=2019at5125	calcineurin-like phosphoesterase
2810at5125	Complete	CM010342.1	661717	662215	+	160.6	78	https://v12-2.orthodb.org/?query=2810at5125	NADH dehydrogenase (ubiquinone) 1 beta subcomplex 7
2860at5125	Complete	CM010335.1	1878809	1880878	+	1364.7	650	https://v12-2.orthodb.org/?query=2860at5125	phosphate transporter
3723at5125	Complete	CM010335.1	1710103	1708761	-	788.4	365	https://v12-2.orthodb.org/?query=3723at5125	uroporphyrinogen decarboxylase
3927at5125	Complete	CM010338.1	3504416	3503193	-	726.4	306	https://v12-2.orthodb.org/?query=3927at5125	serine threonine phosphatase PP1
4250at5125	Complete	CM010336.1	2698838	2699158	+	195.8	82	https://v12-2.orthodb.org/?query=4250at5125	ribosomal protein S27
4866at5125	Complete	CM010336.1	2814648	2813871	-	406.2	200	https://v12-2.orthodb.org/?query=4866at5125	cysteine dioxygenase
5292at5125	Complete	CM010339.1	1362394	1363272	+	509.9	221	https://v12-2.orthodb.org/?query=5292at5125	60S ribosomal protein
6464at5125	Complete	CM010335.1	1600139	1600505	+	204.9	109	https://v12-2.orthodb.org/?query=6464at5125	4-coumarate:coenzyme A ligase
6563at5125	Complete	CM010335.1	5034094	5034725	+	341.5	174	https://v12-2.orthodb.org/?query=6563at5125	protein SYM1
6957at5125	Complete	CM010336.1	946256	944894	-	840.0	420	https://v12-2.orthodb.org/?query=6957at5125	AMP_N domain-containing protein
7045at5125	Complete	CM010337.1	1100925	1098739	-	1127.1	522	https://v12-2.orthodb.org/?query=7045at5125	2 3-bisphosphoglycerate-independent phosphoglycerate mutase
7497at5125	Complete	CM010339.1	1472931	1471133	-	1112.1	576	https://v12-2.orthodb.org/?query=7497at5125	adenosine deaminase
7819at5125	Complete	CM010335.1	2145694	2146459	+	456.5	198	https://v12-2.orthodb.org/?query=7819at5125	Proteasome subunit beta
8238at5125	Complete	CM010342.1	2210465	2209938	-	276.7	156	https://v12-2.orthodb.org/?query=8238at5125	ubiquitin-conjugating enzyme
9118at5125	Complete	CM010341.1	1802274	1800287	-	1224.4	592	https://v12-2.orthodb.org/?query=9118at5125	Phenylalanine--tRNA ligase
10195at5125	Complete	CM010335.1	4184739	4188374	+	2606.8	1147	https://v12-2.orthodb.org/?query=10195at5125	DNA-directed RNA polymerase
10572at5125	Complete	CM010341.1	1545589	1546285	+	432.2	209	https://v12-2.orthodb.org/?query=10572at5125	ADP-ribosylation factor
10731at5125	Complete	CM010336.1	3118005	3117549	-	266.8	142	https://v12-2.orthodb.org/?query=10731at5125	proteasome maturation factor
11508at5125	Complete	CM010336.1	3361136	3361992	+	512.1	248	https://v12-2.orthodb.org/?query=11508at5125	haloacid dehalogenase-like hydrolase
13332at5125	Complete	CM010335.1	1223929	1224996	+	659.9	332	https://v12-2.orthodb.org/?query=13332at5125	thiosulfate sulfurtransferase
13666at5125	Complete	CM010336.1	2595480	2593851	-	1145.3	539	https://v12-2.orthodb.org/?query=13666at5125	Glucose-methanol-choline oxidoreductase
13873at5125	Complete	CM010342.1	1839513	1840473	+	587.4	298	https://v12-2.orthodb.org/?query=13873at5125	Uricase
14224at5125	Complete	CM010335.1	2584516	2582133	-	1315.1	676	https://v12-2.orthodb.org/?query=14224at5125	dipeptidyl peptidase
14550at5125	Complete	CM010337.1	2257459	2256385	-	427.9	275	https://v12-2.orthodb.org/?query=14550at5125	uroporphyrinogen-iii synthase
14908at5125	Complete	CM010337.1	3777127	3779221	+	848.8	469	https://v12-2.orthodb.org/?query=14908at5125	WD40-repeat-containing domain protein
14979at5125	Complete	CM010336.1	2758639	2759443	+	349.2	184	https://v12-2.orthodb.org/?query=14979at5125	Synaptobrevin -like protein ykt6
15111at5125	Complete	CM010342.1	2166331	2165559	-	523.1	238	https://v12-2.orthodb.org/?query=15111at5125	Dolichyl-phosphate beta-D-mannosyltransferase
15273at5125	Complete	CM010339.1	3645398	3652502	+	5498.9	2319	https://v12-2.orthodb.org/?query=15273at5125	pre-mRNA-processing-splicing factor 8
15613at5125	Complete	CM010338.1	3661970	3662806	+	483.8	237	https://v12-2.orthodb.org/?query=15613at5125	mRNA turnover protein 4-like protein
16115at5125	Complete	CM010337.1	3943643	3937079	-	1970.0	1001	https://v12-2.orthodb.org/?query=16115at5125	AP-1 complex subunit gamma
16289at5125	Complete	CM010339.1	1277580	1280006	+	1217.1	775	https://v12-2.orthodb.org/?query=16289at5125	complex I intermediate-associated protein
16347at5125	Complete	CM010335.1	2257343	2258238	+	536.8	260	https://v12-2.orthodb.org/?query=16347at5125	Proteasome subunit beta
16795at5125	Complete	CM010336.1	1840010	1841847	+	947.4	554	https://v12-2.orthodb.org/?query=16795at5125	spermine/spermidine synthase
17326at5125	Complete	CM010341.1	1865838	1864568	-	534.3	318	https://v12-2.orthodb.org/?query=17326at5125	ph domain-containing protein
17522at5125	Complete	CM010340.1	2419106	2415225	-	1251.1	555	https://v12-2.orthodb.org/?query=17522at5125	phosphoenolpyruvate carboxykinase 
17680at5125	Complete	CM010336.1	1449278	1450899	+	812.1	401	https://v12-2.orthodb.org/?query=17680at5125	CDP-alcohol phosphatidyltransferase
18011at5125	Complete	CM010342.1	1225680	1229101	+	294.5	165	https://v12-2.orthodb.org/?query=18011at5125	cytochrome c oxidase subunit IV
18472at5125	Complete	CM010335.1	3766645	3769921	+	1223.3	552	https://v12-2.orthodb.org/?query=18472at5125	Phosphoglucomutase
19978at5125	Complete	CM010338.1	2105236	2103946	-	564.8	305	https://v12-2.orthodb.org/?query=19978at5125	N-glycosylase
20040at5125	Complete	CM010335.1	4699535	4701038	+	636.6	299	https://v12-2.orthodb.org/?query=20040at5125	mitochondrial carrier
20148at5125	Complete	CM010336.1	1176655	1177698	+	588.5	276	https://v12-2.orthodb.org/?query=20148at5125	2-methoxy-6-polyprenyl-1 4-benzoquinol methylase
20908at5125	Complete	CM010342.1	1115200	1116684	+	953.0	426	https://v12-2.orthodb.org/?query=20908at5125	6-phosphofructo-2-kinase
21210at5125	Complete	CM010341.1	991961	990720	-	807.3	379	https://v12-2.orthodb.org/?query=21210at5125	galactose-1-phosphate uridyl transferase
21908at5125	Complete	CM010337.1	1035118	1036305	+	766.8	334	https://v12-2.orthodb.org/?query=21908at5125	Septin
21926at5125	Complete	CM010342.1	1921259	1919881	-	841.3	354	https://v12-2.orthodb.org/?query=21926at5125	guanine nucleotide-binding protein subunit beta
22255at5125	Complete	CM010340.1	1701180	1702552	+	780.8	351	https://v12-2.orthodb.org/?query=22255at5125	glucosamine-6-phosphate isomerase
22269at5125	Complete	CM010341.1	932701	931340	-	785.3	371	https://v12-2.orthodb.org/?query=22269at5125	UDP-glucose 4-epimerase
22746at5125	Complete	CM010339.1	2928986	2930041	+	688.7	329	https://v12-2.orthodb.org/?query=22746at5125	chitin synthase export chaperone
23119at5125	Complete	CM010335.1	2039570	2040117	+	282.4	141	https://v12-2.orthodb.org/?query=23119at5125	Putative PRO41 protein
23161at5125	Complete	CM010338.1	3344221	3338191	-	236.2	120	https://v12-2.orthodb.org/?query=23161at5125	Zinc Finger Protein
23233at5125	Complete	CM010335.1	4843894	4846148	+	1446.8	699	https://v12-2.orthodb.org/?query=23233at5125	SAC1
23402at5125	Complete	CM010341.1	1407668	1406306	-	887.3	427	https://v12-2.orthodb.org/?query=23402at5125	ornithine aminotransferase
23412at5125	Complete	CM010339.1	2374033	2374671	+	320.8	152	https://v12-2.orthodb.org/?query=23412at5125	dynein light chain
23533at5125	Complete	CM010340.1	480172	479008	-	645.6	348	https://v12-2.orthodb.org/?query=23533at5125	L-galactose dehydrogenase (L-)
23667at5125	Complete	CM010335.1	3062023	3064441	+	1611.1	755	https://v12-2.orthodb.org/?query=23667at5125	dolichyl-phosphate-mannose-protein mannosyltransferase
25334at5125	Complete	CM010335.1	4078144	4074647	-	2146.2	981	https://v12-2.orthodb.org/?query=25334at5125	Glycoside hydrolase family 63
25341at5125	Complete	CM010342.1	2326763	2327915	+	487.1	252	https://v12-2.orthodb.org/?query=25341at5125	Mpv17/PMP22 family protein
25373at5125	Complete	CM010338.1	3990914	3993137	+	1274.2	716	https://v12-2.orthodb.org/?query=25373at5125	F-box/WD repeat-containing protein 1A
25777at5125	Complete	CM010342.1	605381	606880	+	886.8	384	https://v12-2.orthodb.org/?query=25777at5125	actin
25837at5125	Complete	CM010335.1	3366828	3368418	+	1095.0	477	https://v12-2.orthodb.org/?query=25837at5125	UTP--glucose-1-phosphate uridylyltransferase
25927at5125	Complete	CM010342.1	1869302	1866013	-	2194.1	1044	https://v12-2.orthodb.org/?query=25927at5125	glutamate dehydrogenase
25989at5125	Complete	CM010337.1	3959183	3960133	+	468.0	270	https://v12-2.orthodb.org/?query=25989at5125	hydrolase
