# BUSCO version is: 6.0.0 
# The lineage dataset is: hypocreales_odb12.2 (Creation date: 2026-05-13, number of genomes: 71, number of BUSCOs: 4077)
# Busco id	Status	Sequence	Gene Start	Gene End	Strand	Score	Length	OrthoDB url	Description
481at5125	Complete	CP052040.1	2890517	2889831	-	339.3	172	https://v12-2.orthodb.org/?query=481at5125	3-hydroxyanthranilate 3
559at5125	Complete	CP052039.1	3280158	3277854	-	1598.2	748	https://v12-2.orthodb.org/?query=559at5125	Glycoside hydrolase family 5
1126at5125	Complete	CP052042.1	1226333	1227054	+	180.5	98	https://v12-2.orthodb.org/?query=1126at5125	ubiquinol-cytochrome-C oxidoreductase complex III subunit
1368at5125	Complete	CP052045.1	830601	830055	-	279.2	161	https://v12-2.orthodb.org/?query=1368at5125	mitochondrial inner membrane protease subunit
1531at5125	Complete	CP052038.1	3005364	3006089	+	365.6	213	https://v12-2.orthodb.org/?query=1531at5125	Protein of unknown function (DUF3605)
1667at5125	Complete	CP052040.1	2226172	2225565	-	270.1	139	https://v12-2.orthodb.org/?query=1667at5125	ubiquitin-conjugating enzyme
2019at5125	Complete	CP052041.1	4229339	4226250	-	1006.3	545	https://v12-2.orthodb.org/?query=2019at5125	calcineurin-like phosphoesterase
2810at5125	Complete	CP052046.1	808233	808731	+	160.6	78	https://v12-2.orthodb.org/?query=2810at5125	NADH dehydrogenase (ubiquinone) 1 beta subcomplex 7
2860at5125	Complete	CP052038.1	4488369	4486300	-	1364.7	650	https://v12-2.orthodb.org/?query=2860at5125	phosphate transporter
3723at5125	Complete	CP052038.1	4657000	4658343	+	788.4	365	https://v12-2.orthodb.org/?query=3723at5125	uroporphyrinogen decarboxylase
3927at5125	Complete	CP052040.1	1456489	1457712	+	726.4	306	https://v12-2.orthodb.org/?query=3927at5125	serine threonine phosphatase PP1
4250at5125	Complete	CP052041.1	1986256	1985936	-	195.8	82	https://v12-2.orthodb.org/?query=4250at5125	ribosomal protein S27
4866at5125	Complete	CP052041.1	1874049	1874826	+	407.3	200	https://v12-2.orthodb.org/?query=4866at5125	cysteine dioxygenase
5292at5125	Complete	CP052042.1	1401523	1402401	+	509.9	221	https://v12-2.orthodb.org/?query=5292at5125	60S ribosomal protein
6464at5125	Complete	CP052038.1	4768452	4768086	-	204.9	109	https://v12-2.orthodb.org/?query=6464at5125	4-coumarate:coenzyme A ligase
6563at5125	Complete	CP052038.1	1333913	1333282	-	341.5	174	https://v12-2.orthodb.org/?query=6563at5125	protein SYM1
6957at5125	Complete	CP052041.1	3745852	3747214	+	840.0	420	https://v12-2.orthodb.org/?query=6957at5125	AMP_N domain-containing protein
7045at5125	Complete	CP052039.1	4215365	4217551	+	1127.1	522	https://v12-2.orthodb.org/?query=7045at5125	2 3-bisphosphoglycerate-independent phosphoglycerate mutase
7497at5125	Complete	CP052042.1	1512976	1511178	-	1110.3	576	https://v12-2.orthodb.org/?query=7497at5125	adenosine deaminase
7819at5125	Complete	CP052038.1	4222420	4221655	-	456.5	198	https://v12-2.orthodb.org/?query=7819at5125	Proteasome subunit beta
8238at5125	Complete	CP052046.1	2391298	2390771	-	277.2	156	https://v12-2.orthodb.org/?query=8238at5125	ubiquitin-conjugating enzyme
9118at5125	Complete	CP052045.1	2035289	2033302	-	1223.7	592	https://v12-2.orthodb.org/?query=9118at5125	Phenylalanine--tRNA ligase
10195at5125	Complete	CP052038.1	2183954	2180319	-	2609.1	1147	https://v12-2.orthodb.org/?query=10195at5125	DNA-directed RNA polymerase
10572at5125	Complete	CP052045.1	1780823	1781519	+	432.2	209	https://v12-2.orthodb.org/?query=10572at5125	ADP-ribosylation factor
10731at5125	Complete	CP052041.1	1573408	1573864	+	266.8	142	https://v12-2.orthodb.org/?query=10731at5125	proteasome maturation factor
11508at5125	Complete	CP052041.1	1330753	1329897	-	512.1	248	https://v12-2.orthodb.org/?query=11508at5125	haloacid dehalogenase-like hydrolase
13332at5125	Complete	CP052038.1	5144563	5143496	-	659.9	332	https://v12-2.orthodb.org/?query=13332at5125	thiosulfate sulfurtransferase
13666at5125	Complete	CP052041.1	2081397	2083026	+	1145.3	539	https://v12-2.orthodb.org/?query=13666at5125	Glucose-methanol-choline oxidoreductase
13873at5125	Complete	CP052046.1	2027470	2028430	+	587.6	298	https://v12-2.orthodb.org/?query=13873at5125	Uricase
14224at5125	Complete	CP052038.1	3781876	3784259	+	1313.4	676	https://v12-2.orthodb.org/?query=14224at5125	dipeptidyl peptidase
14550at5125	Complete	CP052039.1	3061398	3062472	+	428.7	275	https://v12-2.orthodb.org/?query=14550at5125	uroporphyrinogen-iii synthase
14908at5125	Complete	CP052039.1	1554456	1552363	-	848.8	469	https://v12-2.orthodb.org/?query=14908at5125	WD40-repeat-containing domain protein
14979at5125	Complete	CP052041.1	1930167	1929363	-	349.2	184	https://v12-2.orthodb.org/?query=14979at5125	Synaptobrevin -like protein ykt6
15111at5125	Complete	CP052046.1	2343781	2343009	-	523.1	238	https://v12-2.orthodb.org/?query=15111at5125	Dolichyl-phosphate beta-D-mannosyltransferase
15273at5125	Complete	CP052042.1	3711483	3718587	+	5499.7	2319	https://v12-2.orthodb.org/?query=15273at5125	pre-mRNA-processing-splicing factor 8
15613at5125	Complete	CP052040.1	1297830	1296994	-	483.8	237	https://v12-2.orthodb.org/?query=15613at5125	mRNA turnover protein 4-like protein
16115at5125	Complete	CP052039.1	1387994	1394561	+	1911.5	1005	https://v12-2.orthodb.org/?query=16115at5125	AP-1 complex subunit gamma
16289at5125	Complete	CP052042.1	1316823	1319249	+	1217.2	775	https://v12-2.orthodb.org/?query=16289at5125	complex I intermediate-associated protein
16347at5125	Complete	CP052038.1	4110768	4109873	-	536.8	260	https://v12-2.orthodb.org/?query=16347at5125	Proteasome subunit beta
16795at5125	Complete	CP052041.1	2835456	2833619	-	947.4	554	https://v12-2.orthodb.org/?query=16795at5125	spermine/spermidine synthase
17326at5125	Complete	CP052045.1	2098835	2097565	-	534.5	318	https://v12-2.orthodb.org/?query=17326at5125	ph domain-containing protein
17522at5125	Complete	CP052043.1	1867497	1871378	+	1251.1	555	https://v12-2.orthodb.org/?query=17522at5125	phosphoenolpyruvate carboxykinase 
17680at5125	Complete	CP052041.1	3246422	3244802	-	812.1	401	https://v12-2.orthodb.org/?query=17680at5125	CDP-alcohol phosphatidyltransferase
18011at5125	Complete	CP052046.1	1382276	1385697	+	294.4	165	https://v12-2.orthodb.org/?query=18011at5125	cytochrome c oxidase subunit IV
18472at5125	Complete	CP052038.1	2600064	2596789	-	1223.3	552	https://v12-2.orthodb.org/?query=18472at5125	Phosphoglucomutase
