# BUSCO version is: 6.0.0 
# The lineage dataset is: hypocreales_odb12.2 (Creation date: 2026-05-13, number of genomes: 71, number of BUSCOs: 4077)
# Busco id	Status	Sequence	Gene Start	Gene End	Strand	Score	Length	OrthoDB url	Description
481at5125	Complete	CM111168.1	2963597	2962911	-	338.3	172	https://v12-2.orthodb.org/?query=481at5125	3-hydroxyanthranilate 3
559at5125	Complete	CM111166.1	3325018	3322714	-	1597.7	748	https://v12-2.orthodb.org/?query=559at5125	Glycoside hydrolase family 5
1126at5125	Complete	CM111170.1	1303178	1303899	+	180.5	98	https://v12-2.orthodb.org/?query=1126at5125	ubiquinol-cytochrome-C oxidoreductase complex III subunit
1368at5125	Complete	CM111172.1	732176	731630	-	279.2	161	https://v12-2.orthodb.org/?query=1368at5125	mitochondrial inner membrane protease subunit
1531at5125	Complete	CM111164.1	3133482	3134207	+	364.8	213	https://v12-2.orthodb.org/?query=1531at5125	Protein of unknown function (DUF3605)
1667at5125	Complete	CM111168.1	2299377	2298770	-	270.1	139	https://v12-2.orthodb.org/?query=1667at5125	ubiquitin-conjugating enzyme
2019at5125	Complete	CM111165.1	639381	644877	+	1006.4	545	https://v12-2.orthodb.org/?query=2019at5125	calcineurin-like phosphoesterase
2810at5125	Complete	CM111173.1	987621	988119	+	160.6	78	https://v12-2.orthodb.org/?query=2810at5125	NADH dehydrogenase (ubiquinone) 1 beta subcomplex 7
2860at5125	Complete	CM111164.1	4613885	4611816	-	1364.7	650	https://v12-2.orthodb.org/?query=2860at5125	phosphate transporter
3723at5125	Complete	CM111164.1	4782306	4783648	+	786.8	365	https://v12-2.orthodb.org/?query=3723at5125	uroporphyrinogen decarboxylase
3927at5125	Complete	CM111168.1	1530018	1531241	+	726.4	306	https://v12-2.orthodb.org/?query=3927at5125	serine threonine phosphatase PP1
4250at5125	Complete	CM111165.1	2882094	2882414	+	195.8	82	https://v12-2.orthodb.org/?query=4250at5125	ribosomal protein S27
4866at5125	Complete	CM111165.1	2994258	2993481	-	402.9	200	https://v12-2.orthodb.org/?query=4866at5125	cysteine dioxygenase
5292at5125	Complete	CM111170.1	1477559	1478436	+	509.9	221	https://v12-2.orthodb.org/?query=5292at5125	60S ribosomal protein
6464at5125	Complete	CM111164.1	4887421	4887055	-	204.9	109	https://v12-2.orthodb.org/?query=6464at5125	4-coumarate:coenzyme A ligase
6563at5125	Complete	CM111164.1	1456972	1456341	-	340.9	174	https://v12-2.orthodb.org/?query=6563at5125	protein SYM1
6957at5125	Complete	CM111165.1	1110374	1109012	-	838.8	420	https://v12-2.orthodb.org/?query=6957at5125	AMP_N domain-containing protein
7045at5125	Complete	CM111166.1	4260541	4262727	+	1126.7	522	https://v12-2.orthodb.org/?query=7045at5125	2 3-bisphosphoglycerate-independent phosphoglycerate mutase
7497at5125	Complete	CM111170.1	1588011	1586213	-	1111.9	576	https://v12-2.orthodb.org/?query=7497at5125	adenosine deaminase
7819at5125	Complete	CM111164.1	4347894	4347129	-	456.5	198	https://v12-2.orthodb.org/?query=7819at5125	Proteasome subunit beta
8238at5125	Complete	CM111173.1	2570265	2569484	-	267.0	154	https://v12-2.orthodb.org/?query=8238at5125	ubiquitin-conjugating enzyme
9118at5125	Complete	CM111172.1	1936766	1934781	-	1224.3	592	https://v12-2.orthodb.org/?query=9118at5125	Phenylalanine--tRNA ligase
10195at5125	Complete	CM111164.1	2306016	2302381	-	2609.1	1147	https://v12-2.orthodb.org/?query=10195at5125	DNA-directed RNA polymerase
10572at5125	Complete	CM111172.1	1682302	1682998	+	432.1	209	https://v12-2.orthodb.org/?query=10572at5125	ADP-ribosylation factor
10731at5125	Complete	CM111165.1	3299860	3299404	-	267.5	142	https://v12-2.orthodb.org/?query=10731at5125	proteasome maturation factor
11508at5125	Complete	CM111165.1	3544580	3545433	+	512.1	248	https://v12-2.orthodb.org/?query=11508at5125	haloacid dehalogenase-like hydrolase
13332at5125	Complete	CM111164.1	5261033	5259966	-	660.1	332	https://v12-2.orthodb.org/?query=13332at5125	thiosulfate sulfurtransferase
13666at5125	Complete	CM111165.1	2789254	2787625	-	1145.3	539	https://v12-2.orthodb.org/?query=13666at5125	Glucose-methanol-choline oxidoreductase
13873at5125	Complete	CM111173.1	2205374	2206334	+	586.0	298	https://v12-2.orthodb.org/?query=13873at5125	Uricase
14224at5125	Complete	CM111164.1	3908989	3911372	+	1315.7	676	https://v12-2.orthodb.org/?query=14224at5125	dipeptidyl peptidase
14550at5125	Complete	CM111166.1	3105556	3106630	+	428.1	275	https://v12-2.orthodb.org/?query=14550at5125	uroporphyrinogen-iii synthase
14908at5125	Complete	CM111166.1	1606437	1604339	-	848.7	469	https://v12-2.orthodb.org/?query=14908at5125	WD40-repeat-containing domain protein
14979at5125	Complete	CM111165.1	2938146	2938950	+	349.2	184	https://v12-2.orthodb.org/?query=14979at5125	Synaptobrevin -like protein ykt6
15111at5125	Complete	CM111173.1	2520699	2519927	-	523.1	238	https://v12-2.orthodb.org/?query=15111at5125	Dolichyl-phosphate beta-D-mannosyltransferase
15273at5125	Complete	CM111170.1	3747912	3755016	+	5498.9	2319	https://v12-2.orthodb.org/?query=15273at5125	pre-mRNA-processing-splicing factor 8
15613at5125	Complete	CM111168.1	1369355	1368519	-	483.5	237	https://v12-2.orthodb.org/?query=15613at5125	mRNA turnover protein 4-like protein
16115at5125	Complete	CM111166.1	1440082	1446653	+	1916.1	1005	https://v12-2.orthodb.org/?query=16115at5125	AP-1 complex subunit gamma
16289at5125	Complete	CM111170.1	1392879	1395305	+	1219.7	775	https://v12-2.orthodb.org/?query=16289at5125	complex I intermediate-associated protein
16347at5125	Complete	CM111164.1	4236187	4235292	-	536.8	260	https://v12-2.orthodb.org/?query=16347at5125	Proteasome subunit beta
16795at5125	Complete	CM111165.1	2035389	2037226	+	947.4	553	https://v12-2.orthodb.org/?query=16795at5125	spermine/spermidine synthase
17326at5125	Complete	CM111172.1	2000299	1999029	-	534.5	318	https://v12-2.orthodb.org/?query=17326at5125	ph domain-containing protein
17522at5125	Complete	CM111171.1	2709521	2705646	-	1251.1	555	https://v12-2.orthodb.org/?query=17522at5125	phosphoenolpyruvate carboxykinase 
17680at5125	Complete	CM111165.1	1610737	1612354	+	812.6	401	https://v12-2.orthodb.org/?query=17680at5125	CDP-alcohol phosphatidyltransferase
18011at5125	Complete	CM111173.1	1552503	1555910	+	295.7	165	https://v12-2.orthodb.org/?query=18011at5125	cytochrome c oxidase subunit IV
18472at5125	Complete	CM111164.1	2722145	2718847	-	1222.3	552	https://v12-2.orthodb.org/?query=18472at5125	Phosphoglucomutase
19978at5125	Complete	CM111168.1	2923028	2924318	+	564.9	305	https://v12-2.orthodb.org/?query=19978at5125	N-glycosylase
20040at5125	Complete	CM111164.1	1791504	1790023	-	636.6	299	https://v12-2.orthodb.org/?query=20040at5125	mitochondrial carrier
20148at5125	Complete	CM111165.1	1339412	1340455	+	588.5	276	https://v12-2.orthodb.org/?query=20148at5125	2-methoxy-6-polyprenyl-1 4-benzoquinol methylase
20908at5125	Complete	CM111173.1	1442671	1444158	+	953.0	426	https://v12-2.orthodb.org/?query=20908at5125	6-phosphofructo-2-kinase
21210at5125	Complete	CM111172.1	1125468	1124227	-	807.8	379	https://v12-2.orthodb.org/?query=21210at5125	galactose-1-phosphate uridyl transferase
21908at5125	Complete	CM111166.1	4326386	4325199	-	766.8	334	https://v12-2.orthodb.org/?query=21908at5125	Septin
21926at5125	Complete	CM111173.1	2286974	2285596	-	841.3	354	https://v12-2.orthodb.org/?query=21926at5125	guanine nucleotide-binding protein subunit beta
22255at5125	Complete	CM111171.1	1990316	1991688	+	758.6	351	https://v12-2.orthodb.org/?query=22255at5125	glucosamine-6-phosphate isomerase
22269at5125	Complete	CM111172.1	1066255	1064894	-	785.3	371	https://v12-2.orthodb.org/?query=22269at5125	UDP-glucose 4-epimerase
22746at5125	Complete	CM111170.1	3033117	3034172	+	688.7	329	https://v12-2.orthodb.org/?query=22746at5125	chitin synthase export chaperone
23119at5125	Complete	CM111164.1	4453952	4453405	-	282.4	141	https://v12-2.orthodb.org/?query=23119at5125	Putative PRO41 protein
23161at5125	Complete	CM111168.1	1693010	1696179	+	236.2	120	https://v12-2.orthodb.org/?query=23161at5125	Zinc Finger Protein
23233at5125	Complete	CM111164.1	1645603	1643349	-	1447.4	699	https://v12-2.orthodb.org/?query=23233at5125	SAC1
23402at5125	Complete	CM111172.1	1544898	1543535	-	886.8	427	https://v12-2.orthodb.org/?query=23402at5125	ornithine aminotransferase
23412at5125	Complete	CM111170.1	2485850	2486485	+	320.8	152	https://v12-2.orthodb.org/?query=23412at5125	dynein light chain
23533at5125	Complete	CM111171.1	742517	741353	-	643.1	348	https://v12-2.orthodb.org/?query=23533at5125	L-galactose dehydrogenase (L-)
23667at5125	Complete	CM111164.1	3433078	3430660	-	1613.4	755	https://v12-2.orthodb.org/?query=23667at5125	dolichyl-phosphate-mannose-protein mannosyltransferase
