# BUSCO version is: 6.0.0 
# The lineage dataset is: hypocreales_odb12.2 (Creation date: 2026-05-13, number of genomes: 71, number of BUSCOs: 4077)
# Busco id	Status	Sequence	Gene Start	Gene End	Strand	Score	Length	OrthoDB url	Description
481at5125	Complete	CM010802.1	2236569	2237255	+	339.3	172	https://v12-2.orthodb.org/?query=481at5125	3-hydroxyanthranilate 3
559at5125	Duplicated	CM010801.1	2139967	2142271	+	1598.2	748	https://v12-2.orthodb.org/?query=559at5125	Glycoside hydrolase family 5
559at5125	Duplicated	MRCU01000020.1	385251	387555	+	1553.4	748	https://v12-2.orthodb.org/?query=559at5125	Glycoside hydrolase family 5
559at5125	Duplicated	MRCU01000014.1	947261	944957	-	1552.0	748	https://v12-2.orthodb.org/?query=559at5125	Glycoside hydrolase family 5
1126at5125	Complete	CM010803.1	3552055	3551334	-	180.5	98	https://v12-2.orthodb.org/?query=1126at5125	ubiquinol-cytochrome-C oxidoreductase complex III subunit
1368at5125	Complete	CM010805.1	2908293	2908839	+	279.2	161	https://v12-2.orthodb.org/?query=1368at5125	mitochondrial inner membrane protease subunit
1531at5125	Complete	CM010800.1	3393058	3392333	-	365.6	213	https://v12-2.orthodb.org/?query=1531at5125	Protein of unknown function (DUF3605)
1667at5125	Complete	CM010802.1	2900660	2901267	+	270.1	139	https://v12-2.orthodb.org/?query=1667at5125	ubiquitin-conjugating enzyme
2019at5125	Complete	MRCU01000017.1	54311	51224	-	1006.3	545	https://v12-2.orthodb.org/?query=2019at5125	calcineurin-like phosphoesterase
2810at5125	Complete	CM010806.1	2544067	2543569	-	160.6	78	https://v12-2.orthodb.org/?query=2810at5125	NADH dehydrogenase (ubiquinone) 1 beta subcomplex 7
2860at5125	Complete	CM010800.1	1910383	1912452	+	1364.7	650	https://v12-2.orthodb.org/?query=2860at5125	phosphate transporter
3723at5125	Complete	CM010800.1	1741729	1740386	-	788.4	365	https://v12-2.orthodb.org/?query=3723at5125	uroporphyrinogen decarboxylase
3927at5125	Complete	CM010802.1	3673440	3672217	-	726.4	306	https://v12-2.orthodb.org/?query=3927at5125	serine threonine phosphatase PP1
4250at5125	Complete	MRCU01000005.1	2224364	2224684	+	195.8	82	https://v12-2.orthodb.org/?query=4250at5125	ribosomal protein S27
4866at5125	Complete	MRCU01000005.1	2336569	2335792	-	407.3	200	https://v12-2.orthodb.org/?query=4866at5125	cysteine dioxygenase
5292at5125	Complete	CM010803.1	3376889	3376011	-	509.9	221	https://v12-2.orthodb.org/?query=5292at5125	60S ribosomal protein
6464at5125	Complete	CM010800.1	1622525	1622891	+	204.9	109	https://v12-2.orthodb.org/?query=6464at5125	4-coumarate:coenzyme A ligase
6563at5125	Complete	CM010800.1	5062099	5062730	+	341.5	174	https://v12-2.orthodb.org/?query=6563at5125	protein SYM1
6957at5125	Complete	MRCU01000005.1	484605	483243	-	840.0	420	https://v12-2.orthodb.org/?query=6957at5125	AMP_N domain-containing protein
7045at5125	Complete	CM010801.1	1205504	1203317	-	1127.1	522	https://v12-2.orthodb.org/?query=7045at5125	2 3-bisphosphoglycerate-independent phosphoglycerate mutase
7497at5125	Complete	CM010803.1	3267254	3269052	+	1112.1	576	https://v12-2.orthodb.org/?query=7497at5125	adenosine deaminase
7819at5125	Complete	CM010800.1	2178177	2178942	+	456.5	198	https://v12-2.orthodb.org/?query=7819at5125	Proteasome subunit beta
8238at5125	Complete	CM010806.1	971067	971594	+	277.2	156	https://v12-2.orthodb.org/?query=8238at5125	ubiquitin-conjugating enzyme
9118at5125	Complete	CM010805.1	1697151	1699138	+	1223.7	592	https://v12-2.orthodb.org/?query=9118at5125	Phenylalanine--tRNA ligase
10195at5125	Complete	CM010800.1	4212471	4216106	+	2609.1	1147	https://v12-2.orthodb.org/?query=10195at5125	DNA-directed RNA polymerase
10572at5125	Complete	CM010805.1	1951671	1950975	-	432.2	209	https://v12-2.orthodb.org/?query=10572at5125	ADP-ribosylation factor
10731at5125	Complete	MRCU01000005.1	2637233	2636777	-	266.8	142	https://v12-2.orthodb.org/?query=10731at5125	proteasome maturation factor
11508at5125	Complete	MRCU01000005.1	2879866	2880722	+	512.1	248	https://v12-2.orthodb.org/?query=11508at5125	haloacid dehalogenase-like hydrolase
13332at5125	Complete	CM010800.1	1246506	1247573	+	659.9	332	https://v12-2.orthodb.org/?query=13332at5125	thiosulfate sulfurtransferase
13666at5125	Complete	MRCU01000005.1	2123236	2121607	-	1145.3	539	https://v12-2.orthodb.org/?query=13666at5125	Glucose-methanol-choline oxidoreductase
13873at5125	Complete	CM010806.1	1339928	1338968	-	587.6	298	https://v12-2.orthodb.org/?query=13873at5125	Uricase
14224at5125	Complete	CM010800.1	2617338	2614958	-	1313.8	676	https://v12-2.orthodb.org/?query=14224at5125	dipeptidyl peptidase
14550at5125	Complete	CM010801.1	2358724	2357650	-	428.7	275	https://v12-2.orthodb.org/?query=14550at5125	uroporphyrinogen-iii synthase
14908at5125	Complete	CM010801.1	3895503	3897596	+	848.8	469	https://v12-2.orthodb.org/?query=14908at5125	WD40-repeat-containing domain protein
14979at5125	Complete	MRCU01000005.1	2280461	2281265	+	349.2	184	https://v12-2.orthodb.org/?query=14979at5125	Synaptobrevin -like protein ykt6
15111at5125	Complete	CM010806.1	1014820	1015592	+	523.1	238	https://v12-2.orthodb.org/?query=15111at5125	Dolichyl-phosphate beta-D-mannosyltransferase
15273at5125	Complete	CM010803.1	1100948	1093844	-	5499.7	2319	https://v12-2.orthodb.org/?query=15273at5125	pre-mRNA-processing-splicing factor 8
15613at5125	Complete	CM010802.1	3832146	3832982	+	483.8	237	https://v12-2.orthodb.org/?query=15613at5125	mRNA turnover protein 4-like protein
16115at5125	Complete	CM010801.1	4062705	4056148	-	1912.8	1005	https://v12-2.orthodb.org/?query=16115at5125	AP-1 complex subunit gamma
16289at5125	Complete	CM010803.1	3461566	3459140	-	1215.4	775	https://v12-2.orthodb.org/?query=16289at5125	complex I intermediate-associated protein
16347at5125	Complete	CM010800.1	2289838	2290733	+	536.8	260	https://v12-2.orthodb.org/?query=16347at5125	Proteasome subunit beta
16795at5125	Complete	MRCU01000005.1	1367179	1369016	+	947.4	554	https://v12-2.orthodb.org/?query=16795at5125	spermine/spermidine synthase
17326at5125	Complete	CM010805.1	1632331	1633601	+	534.3	318	https://v12-2.orthodb.org/?query=17326at5125	ph domain-containing protein
17522at5125	Complete	CM010804.1	2465214	2461333	-	1251.1	555	https://v12-2.orthodb.org/?query=17522at5125	phosphoenolpyruvate carboxykinase 
17680at5125	Complete	MRCU01000005.1	984366	985986	+	812.1	401	https://v12-2.orthodb.org/?query=17680at5125	CDP-alcohol phosphatidyltransferase
18011at5125	Complete	CM010806.1	1988673	1985252	-	294.4	165	https://v12-2.orthodb.org/?query=18011at5125	cytochrome c oxidase subunit IV
18472at5125	Complete	CM010800.1	3796405	3799681	+	1222.0	552	https://v12-2.orthodb.org/?query=18472at5125	Phosphoglucomutase
19978at5125	Missing
20040at5125	Complete	CM010800.1	4728928	4730420	+	636.6	299	https://v12-2.orthodb.org/?query=20040at5125	mitochondrial carrier
20148at5125	Complete	MRCU01000005.1	714014	715057	+	588.5	276	https://v12-2.orthodb.org/?query=20148at5125	2-methoxy-6-polyprenyl-1 4-benzoquinol methylase
20908at5125	Complete	CM010806.1	2101291	2099807	-	953.0	426	https://v12-2.orthodb.org/?query=20908at5125	6-phosphofructo-2-kinase
21210at5125	Complete	CM010805.1	2504648	2505889	+	807.3	379	https://v12-2.orthodb.org/?query=21210at5125	galactose-1-phosphate uridyl transferase
21908at5125	Complete	CM010801.1	1139210	1140397	+	766.2	334	https://v12-2.orthodb.org/?query=21908at5125	Septin
21926at5125	Complete	CM010806.1	1258284	1259662	+	841.3	354	https://v12-2.orthodb.org/?query=21926at5125	guanine nucleotide-binding protein subunit beta
22255at5125	Complete	CM010804.1	1751104	1752476	+	782.8	351	https://v12-2.orthodb.org/?query=22255at5125	glucosamine-6-phosphate isomerase
22269at5125	Complete	CM010805.1	2564823	2566184	+	785.3	371	https://v12-2.orthodb.org/?query=22269at5125	UDP-glucose 4-epimerase
22746at5125	Complete	CM010803.1	1814473	1813418	-	688.7	329	https://v12-2.orthodb.org/?query=22746at5125	chitin synthase export chaperone
23119at5125	Complete	CM010800.1	2070140	2070687	+	282.4	141	https://v12-2.orthodb.org/?query=23119at5125	Putative PRO41 protein
23161at5125	Complete	CM010802.1	3507183	3506731	-	209.8	107	https://v12-2.orthodb.org/?query=23161at5125	Zinc Finger Protein
23233at5125	Complete	CM010800.1	4873362	4875616	+	1446.8	699	https://v12-2.orthodb.org/?query=23233at5125	SAC1
23402at5125	Complete	CM010805.1	2088986	2090348	+	888.8	427	https://v12-2.orthodb.org/?query=23402at5125	ornithine aminotransferase
23412at5125	Complete	CM010803.1	2369296	2368658	-	320.8	152	https://v12-2.orthodb.org/?query=23412at5125	dynein light chain
